
start_station_name,end_station_name,latitude,longitude,total_trips
Commercial at Montgomery,Embarcadero at Bryant,37.794231,-122.402923,893
San Francisco Caltrain 2 (330 Townsend),Golden Gate at Polk,37.7766,-122.39547,893
Temporary Transbay Terminal (Howard at Beale),Yerba Buena Center of the Arts (3rd @ Howard),37.789756,-122.394643,889
Townsend at 7th,Howard at 2nd,37.771058,-122.402717,888
Steuart at Market,Broadway St at Battery St,37.794139,-122.394434,888
2nd at South Park,Townsend at 7th,37.782259,-122.392738,888
Clay at Battery,2nd at Townsend,37.795001,-122.39997,885
Embarcadero at Sansome,Embarcadero at Vallejo,37.80477,-122.403234,883
Powell at Post (Union Square),San Francisco Caltrain 2 (330 Townsend),37.788446,-122.408499,882
5th at Howard,Steuart at Market,37.781752,-122.405127,878
Market at 10th,Post at Kearny,37.776619,-122.417385,877
Mechanics Plaza (Market at Battery),Embarcadero at Sansome,37.7913,-122.399051,872
Market at 4th,Market at Sansome,37.786305,-122.404966,867
Spear at Folsom,Townsend at 7th,37.790302,-122.390637,867
Market at 4th,South Van Ness at Market,37.786305,-122.404966,866
Market at Sansome,Temporary Transbay Terminal (Howard at Beale),37.789625,-122.400811,862
Golden Gate at Polk,Townsend at 7th,37.781332,-122.418603,860
St James Park,San Jose Diridon Caltrain Station,37.339301,-121.889937,859
Spear at Folsom,Harry Bridges Plaza (Ferry Building),37.790302,-122.390637,857
Ryland Park,San Jose Diridon Caltrain Station,37.342725,-121.895617,852
Spear at Folsom,Steuart at Market,37.790302,-122.390637,851
2nd at Townsend,Embarcadero at Vallejo,37.780526,-122.390288,847
Temporary Transbay Terminal (Howard at Beale),Civic Center BART (7th at Market),37.789756,-122.394643,844
Market at 10th,Market at 10th,37.776619,-122.417385,843
Howard at 2nd,Townsend at 7th,37.786978,-122.398108,843
Embarcadero at Vallejo,Embarcadero at Vallejo,37.799953,-122.398525,840
San Francisco Caltrain 2 (330 Townsend),2nd at Townsend,37.7766,-122.39547,840
San Jose City Hall,San Jose Diridon Caltrain Station,37.337391,-121.886995,838
Embarcadero at Sansome,San Francisco Caltrain 2 (330 Townsend),37.80477,-122.403234,836
Mechanics Plaza (Market at Battery),Embarcadero at Bryant,37.7913,-122.399051,834
Broadway St at Battery St,Market at Sansome,37.798541,-122.400862,832
San Francisco Caltrain 2 (330 Townsend),Mechanics Plaza (Market at Battery),37.7766,-122.39547,832
2nd at Townsend,Clay at Battery,37.780526,-122.390288,831
San Francisco Caltrain 2 (330 Townsend),Spear at Folsom,37.7766,-122.39547,830
Davis at Jackson,Davis at Jackson,37.79728,-122.398436,827
Harry Bridges Plaza (Ferry Building),5th at Howard,37.795392,-122.394203,826
Howard at 2nd,Market at Sansome,37.786978,-122.398108,823
Powell at Post (Union Square),Powell at Post (Union Square),37.788446,-122.408499,822
Harry Bridges Plaza (Ferry Building),Temporary Transbay Terminal (Howard at Beale),37.795392,-122.394203,820
Mechanics Plaza (Market at Battery),Market at 10th,37.7913,-122.399051,818
South Van Ness at Market,Temporary Transbay Terminal (Howard at Beale),37.774814,-122.418954,817
Golden Gate at Polk,San Francisco Caltrain (Townsend at 4th),37.781332,-122.418603,815
Market at 10th,Yerba Buena Center of the Arts (3rd @ Howard),37.776619,-122.417385,814
Japantown,San Jose Diridon Caltrain Station,37.348742,-121.894715,812
Powell Street BART,Powell Street BART,37.783871,-122.408433,811
Temporary Transbay Terminal (Howard at Beale),Golden Gate at Polk,37.789756,-122.394643,809
San Francisco Caltrain 2 (330 Townsend),Embarcadero at Sansome,37.7766,-122.39547,807
